"Notes"	"County of Residence"	"County of Residence Code"	"Sex of Infant"	"Sex of Infant Code"	"NICU Admission"	"NICU Admission Code"	"OE Gestational Age Recode 10"	"OE Gestational Age Recode 10 Code"	Births	% of Total Births
	"Montgomery County, AL"	"01101"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Morgan County, AL"	"01103"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Tuscaloosa County, AL"	"01125"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Unidentified Counties, AK"	"02999"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Cochise County, AZ"	"04003"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Coconino County, AZ"	"04005"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Maricopa County, AZ"	"04013"	"Male"	"M"	"No"	"2"	"Unknown or Not Stated"	"10"	10	0.00%
	"Pinal County, AZ"	"04021"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Yavapai County, AZ"	"04025"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Yuma County, AZ"	"04027"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Benton County, AR"	"05007"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Benton County, AR"	"05007"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Faulkner County, AR"	"05045"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Faulkner County, AR"	"05045"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Saline County, AR"	"05125"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Sebastian County, AR"	"05131"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Sebastian County, AR"	"05131"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Sebastian County, AR"	"05131"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Unidentified Counties, AR"	"05999"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Butte County, CA"	"06007"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"El Dorado County, CA"	"06017"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"El Dorado County, CA"	"06017"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Fresno County, CA"	"06019"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Kern County, CA"	"06029"	"Female"	"F"	"No"	"2"	"Unknown or Not Stated"	"10"	10	0.00%
	"Kern County, CA"	"06029"	"Male"	"M"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Kings County, CA"	"06031"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Marin County, CA"	"06041"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Monterey County, CA"	"06053"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Orange County, CA"	"06059"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Orange County, CA"	"06059"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Harrison County, MS"	"28047"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Harrison County, MS"	"28047"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Hinds County, MS"	"28049"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	10	0.00%
	"Jackson County, MS"	"28059"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Jackson County, MS"	"28059"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Rankin County, MS"	"28121"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Boone County, MO"	"29019"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Clay County, MO"	"29047"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Greene County, MO"	"29077"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Greene County, MO"	"29077"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Jefferson County, MO"	"29099"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"St. Charles County, MO"	"29183"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"St. Louis city, MO"	"29510"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Sarpy County, NE"	"31153"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Unidentified Counties, NE"	"31999"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Unidentified Counties, NE"	"31999"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Clark County, NV"	"32003"	"Male"	"M"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Washoe County, NV"	"32031"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Hillsborough County, NH"	"33011"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Merrimack County, NH"	"33013"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Rockingham County, NH"	"33015"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Atlantic County, NJ"	"34001"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Atlantic County, NJ"	"34001"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Bergen County, NJ"	"34003"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Hunterdon County, NJ"	"34019"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Hunterdon County, NJ"	"34019"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Mercer County, NJ"	"34021"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Mercer County, NJ"	"34021"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Morris County, NJ"	"34027"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Sacramento County, CA"	"06067"	"Male"	"M"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"San Diego County, CA"	"06073"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	10	0.00%
	"San Francisco County, CA"	"06075"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"San Joaquin County, CA"	"06077"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Santa Barbara County, CA"	"06083"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Santa Clara County, CA"	"06085"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Santa Cruz County, CA"	"06087"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Sonoma County, CA"	"06097"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Sonoma County, CA"	"06097"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Sonoma County, CA"	"06097"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Unidentified Counties, CA"	"06999"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Douglas County, CO"	"08035"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Douglas County, CO"	"08035"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Jefferson County, CO"	"08059"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Jefferson County, CO"	"08059"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Larimer County, CO"	"08069"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Larimer County, CO"	"08069"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	10	0.00%
	"Weld County, CO"	"08123"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Litchfield County, CT"	"09005"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"New London County, CT"	"09011"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"New London County, CT"	"09011"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Sussex County, DE"	"10005"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Alachua County, FL"	"12001"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Brevard County, FL"	"12009"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Harnett County, NC"	"37085"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Henderson County, NC"	"37089"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"New Hanover County, NC"	"37129"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Onslow County, NC"	"37133"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Orange County, NC"	"37135"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"Randolph County, NC"	"37151"	"Male"	"M"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"Rowan County, NC"	"37159"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Rowan County, NC"	"37159"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Union County, NC"	"37179"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Wake County, NC"	"37183"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Wake County, NC"	"37183"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Unidentified Counties, NC"	"37999"	"Female"	"F"	"No"	"2"	"Unknown or Not Stated"	"10"	10	0.00%
	"Unidentified Counties, ND"	"38999"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Allen County, OH"	"39003"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Allen County, OH"	"39003"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Clark County, OH"	"39023"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Clermont County, OH"	"39025"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Columbiana County, OH"	"39029"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"Cuyahoga County, OH"	"39035"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Greene County, OH"	"39057"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Greene County, OH"	"39057"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Lake County, OH"	"39085"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Mahoning County, OH"	"39099"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Medina County, OH"	"39103"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Miami County, OH"	"39109"	"Male"	"M"	"No"	"2"	"36 weeks"	"05"	10	0.00%
	"Richland County, OH"	"39139"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Stark County, OH"	"39151"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Summit County, OH"	"39153"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Trumbull County, OH"	"39155"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Trumbull County, OH"	"39155"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Warren County, OH"	"39165"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, OH"	"39999"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Unidentified Counties, OH"	"39999"	"Female"	"F"	"No"	"2"	"Under 20 weeks"	"01"	10	0.00%
	"Canadian County, OK"	"40017"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Oklahoma County, OK"	"40109"	"Female"	"F"	"No"	"2"	"20 - 27 weeks"	"02"	10	0.00%
	"Oklahoma County, OK"	"40109"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Citrus County, FL"	"12017"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Collier County, FL"	"12021"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Collier County, FL"	"12021"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Hernando County, FL"	"12053"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Hillsborough County, FL"	"12057"	"Male"	"M"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Lake County, FL"	"12069"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Lee County, FL"	"12071"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Lee County, FL"	"12071"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Leon County, FL"	"12073"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Manatee County, FL"	"12081"	"Male"	"M"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Martin County, FL"	"12085"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
	"Pasco County, FL"	"12101"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Santa Rosa County, FL"	"12113"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Seminole County, FL"	"12117"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Seminole County, FL"	"12117"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Volusia County, FL"	"12127"	"Female"	"F"	"Unknown or Not Stated"	"9"	"37 - 39 weeks"	"06"	10	0.00%
	"Unidentified Counties, FL"	"12999"	"Female"	"F"	"No"	"2"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, FL"	"12999"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Bibb County, GA"	"13021"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Chatham County, GA"	"13051"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Clayton County, GA"	"13063"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Clayton County, GA"	"13063"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Clayton County, GA"	"13063"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Coweta County, GA"	"13077"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Coweta County, GA"	"13077"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Douglas County, GA"	"13097"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Fulton County, GA"	"13121"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Fulton County, GA"	"13121"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Hall County, GA"	"13139"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Clackamas County, OR"	"41005"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Clackamas County, OR"	"41005"	"Female"	"F"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Deschutes County, OR"	"41017"	"Female"	"F"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Deschutes County, OR"	"41017"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Douglas County, OR"	"41019"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	10	0.00%
	"Jackson County, OR"	"41029"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Jackson County, OR"	"41029"	"Male"	"M"	"Yes"	"1"	"40 weeks"	"07"	10	0.00%
	"Lane County, OR"	"41039"	"Male"	"M"	"Yes"	"1"	"36 weeks"	"05"	10	0.00%
	"Marion County, OR"	"41047"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Washington County, OR"	"41067"	"Male"	"M"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Adams County, PA"	"42001"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"Butler County, PA"	"42019"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Cambria County, PA"	"42021"	"Female"	"F"	"No"	"2"	"41 weeks"	"08"	10	0.00%
	"Cambria County, PA"	"42021"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Chester County, PA"	"42029"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Chester County, PA"	"42029"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Chester County, PA"	"42029"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Cumberland County, PA"	"42041"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Delaware County, PA"	"42045"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Lackawanna County, PA"	"42069"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Luzerne County, PA"	"42079"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Lycoming County, PA"	"42081"	"Female"	"F"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Lycoming County, PA"	"42081"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Monroe County, PA"	"42089"	"Male"	"M"	"No"	"2"	"32 - 35 weeks"	"04"	10	0.00%
	"Montgomery County, PA"	"42091"	"Female"	"F"	"Yes"	"1"	"20 - 27 weeks"	"02"	10	0.00%
	"Montgomery County, PA"	"42091"	"Female"	"F"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Northampton County, PA"	"42095"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Philadelphia County, PA"	"42101"	"Female"	"F"	"No"	"2"	"Unknown or Not Stated"	"10"	10	0.00%
	"Philadelphia County, PA"	"42101"	"Male"	"M"	"No"	"2"	"42 weeks or more"	"09"	10	0.00%
	"Schuylkill County, PA"	"42107"	"Female"	"F"	"Yes"	"1"	"37 - 39 weeks"	"06"	10	0.00%
	"Schuylkill County, PA"	"42107"	"Female"	"F"	"No"	"2"	"36 weeks"	"05"	10	0.00%
	"Washington County, PA"	"42125"	"Female"	"F"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Westmoreland County, PA"	"42129"	"Male"	"M"	"Yes"	"1"	"28 - 31 weeks"	"03"	10	0.00%
	"Unidentified Counties, PA"	"42999"	"Female"	"F"	"Yes"	"1"	"41 weeks"	"08"	10	0.00%
	"Kent County, RI"	"44003"	"Male"	"M"	"Yes"	"1"	"32 - 35 weeks"	"04"	10	0.00%
