"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average LMP Gestational Age (weeks)	Average Birth Weight (grams)	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Average Interval Since Last Other Pregnancy Outcome (months)
	"Cochise County, AZ"	"04003"	10540	1007021	10.47	163657	64.40	0.04%	27.60	38.53	38.59	3227.25	9.05	51.34	52.95
	"Coconino County, AZ"	"04005"	11228	1144079	9.81	282506	39.74	0.04%	28.66	38.52	38.65	3223.83	10.50	49.61	51.31
	"Maricopa County, AZ"	"04013"	410500	35659332	11.51	7212664	56.91	1.37%	28.85	38.43	38.55	3277.83	11.05	50.56	54.08
	"Mohave County, AZ"	"04015"	14035	1713576	8.19	229933	61.04	0.05%	27.30	38.48	38.73	3265.32	10.60	49.43	52.21
	"Navajo County, AZ"	"04017"	10716	878435	12.20	150092	71.40	0.04%	27.38	38.37	38.51	3216.11	9.84	49.23	56.80
	"Pima County, AZ"	"04019"	83336	8359291	9.97	1622798	51.35	0.28%	28.52	38.47	38.50	3245.60	10.02	51.91	53.25
	"Pinal County, AZ"	"04021"	37869	3637482	10.41	616000	61.48	0.13%	27.99	38.47	38.66	3313.80	11.71	49.06	56.59
	"Yavapai County, AZ"	"04025"	14213	1898573	7.49	249143	57.05	0.05%	27.94	38.51	38.71	3251.60	11.36	49.98	55.42
	"Yuma County, AZ"	"04027"	23589	1684957	14.00	304219	77.54	0.08%	27.31	38.48	38.72	3325.51	9.60	53.87	53.18
	"Unidentified Counties, AZ"	"04999"	21970	1903216	11.54	323269	67.96	0.07%	27.27	38.31	38.49	3242.57	9.22	50.25	56.08
	"Benton County, AR"	"05007"	29826	2272682	13.12	467936	63.74	0.10%	28.57	38.33	38.59	3289.21	10.88	48.53	45.31
	"Faulkner County, AR"	"05045"	11972	1006335	11.90	234540	51.04	0.04%	27.69	38.27	38.44	3271.83	11.18	48.71	45.28
	"Pulaski County, AR"	"05119"	40662	3161752	12.86	648807	62.67	0.14%	28.07	38.08	38.30	3154.76	10.09	50.11	49.33
	"Saline County, AR"	"05125"	10786	988016	10.92	188072	57.35	0.04%	28.12	38.15	38.49	3251.31	10.81	52.11	48.36
	"Sebastian County, AR"	"05131"	13158	1025627	12.83	198620	66.25	0.04%	27.13	38.33	38.50	3257.22	9.42	49.11	48.38
	"Washington County, AR"	"05143"	25754	1947069	13.23	446284	57.71	0.09%	28.03	38.33	38.57	3268.85	10.29	47.26	42.62
	"Unidentified Counties, AR"	"05999"	159169	13792457	11.54	2475572	64.30	0.53%	26.40	38.17	38.37	3211.47	10.29	48.77	46.03
	"Alameda County, CA"	"06001"	141971	13211040	10.75	2831137	50.15	0.48%	31.76	38.62	38.74	3266.73	10.67	55.79	36.78
	"Butte County, CA"	"06007"	17502	1742128	10.05	360941	48.49	0.06%	29.05	38.73	38.84	3336.73	10.85	50.87	38.43
	"Contra Costa County, CA"	"06013"	94671	9212044	10.28	1765182	53.63	0.32%	31.29	38.55	38.71	3300.04	11.46	55.23	38.87
	"El Dorado County, CA"	"06017"	12428	1529140	8.13	243585	51.02	0.04%	30.82	38.74	38.85	3327.00	10.94	48.45	37.93
	"Fresno County, CA"	"06019"	113033	8009522	14.11	1670764	67.65	0.38%	28.63	38.45	38.49	3268.83	12.62	52.90	44.28
	"Humboldt County, CA"	"06023"	10438	1085613	9.61	224995	46.39	0.03%	29.56	38.83	38.98	3381.42	12.11	51.98	41.05
	"Imperial County, CA"	"06025"	20522	1444643	14.21	274725	74.70	0.07%	28.18	38.51	38.88	3297.83	9.42	57.98	50.05
	"Kern County, CA"	"06029"	102150	7223836	14.14	1473533	69.32	0.34%	28.05	38.53	38.60	3277.16	11.57	53.03	47.08
	"Kings County, CA"	"06031"	17457	1215990	14.36	232883	74.96	0.06%	27.85	38.48	38.63	3306.25	12.65	52.14	42.71
	"Los Angeles County, CA"	"06037"	838436	79603120	10.53	16830710	49.82	2.81%	30.57	38.51	38.60	3255.39	11.87	57.20	40.70
	"Madera County, CA"	"06039"	17054	1266871	13.46	269372	63.31	0.06%	28.45	38.59	38.66	3303.83	11.05	55.00	48.31
	"Marin County, CA"	"06041"	17500	2068061	8.46	310892	56.29	0.06%	33.33	38.82	38.92	3346.95	10.47	52.41	31.47
	"Merced County, CA"	"06047"	31101	2241437	13.88	470271	66.13	0.10%	28.22	38.50	38.63	3304.83	10.64	54.43	46.08
	"Monterey County, CA"	"06053"	45809	3474606	13.18	684905	66.88	0.15%	29.03	38.64	38.68	3319.94	12.00	58.84	46.76
	"Napa County, CA"	"06055"	9995	1099988	9.09	200413	49.87	0.03%	30.90	38.70	38.86	3342.43	12.00	57.14	41.99
	"Orange County, CA"	"06059"	268906	25346197	10.61	5047869	53.27	0.90%	31.15	38.55	38.65	3279.05	12.49	52.97	39.04
	"Placer County, CA"	"06061"	29623	3214758	9.21	566656	52.28	0.10%	31.00	38.75	38.80	3374.85	11.86	48.34	39.74
	"Riverside County, CA"	"06065"	225950	19646238	11.50	3964649	56.99	0.76%	29.21	38.51	38.60	3284.51	11.31	54.61	44.65
	"Sacramento County, CA"	"06067"	148994	12454632	11.96	2579039	57.77	0.50%	29.88	38.60	38.71	3314.35	11.39	52.30	40.79
	"San Bernardino County, CA"	"06071"	222697	17422348	12.78	3673245	60.63	0.75%	28.92	38.40	38.45	3243.15	11.20	54.47	44.49
	"San Diego County, CA"	"06073"	310309	26501805	11.71	5489838	56.52	1.04%	30.41	38.61	38.68	3299.60	11.91	52.42	39.43
	"San Francisco County, CA"	"06075"	64559	6819336	9.47	1543336	41.83	0.22%	33.36	38.69	38.77	3257.96	11.09	50.97	31.88
	"San Joaquin County, CA"	"06077"	79106	6145512	12.87	1250107	63.28	0.26%	29.11	38.50	38.62	3282.26	12.04	55.28	45.12
	"San Luis Obispo County, CA"	"06079"	19680	2262473	8.70	431804	45.58	0.07%	30.32	38.64	38.70	3344.39	12.51	50.37	38.26
	"San Mateo County, CA"	"06081"	63889	6024055	10.61	1163873	54.89	0.21%	32.51	38.59	38.69	3272.18	11.35	52.48	34.46
	"Santa Barbara County, CA"	"06083"	43779	3563681	12.28	759189	57.67	0.15%	29.23	38.58	38.36	3290.34	12.73	55.84	46.28
	"Santa Clara County, CA"	"06085"	163802	15264127	10.73	3096220	52.90	0.55%	31.78	38.57	38.62	3247.21	11.94	54.86	33.80
	"Santa Cruz County, CA"	"06087"	19229	2161672	8.90	449351	42.79	0.06%	30.85	38.74	38.90	3340.39	12.49	57.42	43.06
	"Shasta County, CA"	"06089"	15201	1442134	10.54	253244	60.03	0.05%	28.65	38.69	38.78	3329.87	10.91	48.17	42.61
	"Solano County, CA"	"06095"	39914	3576534	11.16	686236	58.16	0.13%	29.88	38.60	38.74	3320.54	11.07	56.44	43.32
	"Sonoma County, CA"	"06097"	36233	3941733	9.19	717182	50.52	0.12%	30.79	38.78	38.93	3357.97	11.01	56.70	38.92
	"Stanislaus County, CA"	"06099"	58300	4395719	13.26	894480	65.18	0.20%	28.71	38.58	38.71	3322.63	12.11	54.11	43.48
	"Tulare County, CA"	"06107"	54665	3759732	14.54	784637	69.67	0.18%	28.01	38.46	38.59	3295.38	11.78	54.19	46.22
	"Ventura County, CA"	"06111"	70630	6744300	10.47	1294994	54.54	0.24%	30.26	38.62	38.71	3309.70	11.97	55.65	45.60
	"Yolo County, CA"	"06113"	16634	1755199	9.48	444485	37.42	0.06%	30.32	38.72	38.85	3357.93	12.01	53.01	39.00
	"Unidentified Counties, CA"	"06999"	79796	7586163	10.52	1249103	63.88	0.27%	28.83	38.64	38.78	3317.59	11.21	51.91	43.36
	"Adams County, CO"	"08001"	50616	4133606	12.24	893413	56.65	0.17%	28.95	38.51	38.67	3185.55	10.25	52.99	46.10
	"Arapahoe County, CO"	"08005"	60510	5212146	11.61	1082725	55.89	0.20%	29.98	38.47	38.57	3169.27	10.07	50.10	44.79
	"Boulder County, CO"	"08013"	20178	2608027	7.74	559976	36.03	0.07%	31.58	38.78	38.82	3226.77	10.59	46.53	40.59
	"Denver County, CO"	"08031"	74230	5718214	12.98	1415848	52.43	0.25%	30.44	38.56	38.66	3165.94	10.19	50.15	42.54
	"Douglas County, CO"	"08035"	28670	2847495	10.07	547437	52.37	0.10%	31.57	38.49	38.54	3196.11	11.01	42.89	40.86
	"El Paso County, CO"	"08041"	73518	5772734	12.74	1194576	61.54	0.25%	28.55	38.34	38.50	3158.91	9.56	46.61	42.83
	"Jefferson County, CO"	"08059"	45042	4624937	9.74	896556	50.24	0.15%	31.15	38.67	38.73	3201.09	10.28	45.18	40.62
	"Larimer County, CO"	"08069"	25052	2851896	8.78	623629	40.17	0.08%	30.25	38.51	38.57	3208.76	12.19	47.02	50.18
	"Mesa County, CO"	"08077"	12486	1240371	10.07	231777	53.87	0.04%	28.06	38.52	38.72	3211.60	11.06	48.10	46.28
	"Pueblo County, CO"	"08101"	14077	1345962	10.46	251210	56.04	0.05%	27.46	38.33	38.42	3128.96	10.65	51.59	45.23
	"Weld County, CO"	"08123"	35672	2621999	13.60	544406	65.52	0.12%	28.65	38.52	38.59	3218.70	11.28	48.03	49.40
	"Unidentified Counties, CO"	"08999"	65018	6961936	9.34	1189774	54.65	0.22%	29.20	38.50	38.62	3160.87	10.45	48.81	48.08
	"Fairfield County, CT"	"09001"	79204	5683447	13.94	1058089	74.86	0.27%	31.73	38.59	38.75	3297.93	12.36	54.32	49.52
	"Hartford County, CT"	"09003"	72318	5358274	13.50	1022581	70.72	0.24%	30.31	38.37	38.58	3249.21	11.65	53.86	50.15
	"Litchfield County, CT"	"09005"	11347	1090802	10.40	171874	66.02	0.04%	30.81	38.57	38.76	3329.21	12.43	50.16	50.13
	"Middlesex County, CT"	"09007"	10270	978273	10.50	168973	60.78	0.03%	31.44	38.61	38.79	3332.36	12.68	47.76	51.34
	"New Haven County, CT"	"09009"	68293	5145335	13.27	1010744	67.57	0.23%	30.23	38.50	38.74	3263.48	12.65	55.25	47.62
	"New London County, CT"	"09011"	20158	1604628	12.56	286933	70.25	0.07%	29.84	38.55	38.75	3311.97	12.50	51.48	50.49
	"Tolland County, CT"	"09013"	9208	905114	10.17	192536	47.82	0.03%	30.99	38.61	38.82	3335.77	12.05	48.30	51.60
	"Windham County, CT"	"09015"	8442	699318	12.07	130781	64.55	0.03%	29.12	38.40	38.66	3285.08	11.77	52.42	52.28
	"Unidentified Counties, CT"	"09999"	0	Not Available	Not Available	Not Available	Not Available	0.00%	0.00	0.00	0.00	0.00	0.00	0.00	0.00
	"Kent County, DE"	"10001"	16999	1455514	11.68	288954	58.83	0.06%	28.43	38.35	38.60	3242.36	10.49	49.48	48.68
	"New Castle County, DE"	"10003"	49576	4522193	10.96	906659	54.68	0.17%	29.74	38.35	38.54	3233.18	10.80	53.91	47.25
	"Sussex County, DE"	"10005"	18572	1917711	9.68	272638	68.12	0.06%	28.48	38.38	38.58	3257.70	10.14	54.21	50.93
	"District of Columbia, DC"	"11001"	71214	5516987	12.91	1482614	48.03	0.24%	31.05	38.48	38.50	3202.24	10.24	52.29	47.80
	"Alachua County, FL"	"12001"	21469	2189919	9.80	559103	38.40	0.07%	29.38	38.31	38.50	3204.88	10.49	50.81	44.28
	"Bay County, FL"	"12005"	17114	1453922	11.77	263627	64.92	0.06%	27.93	38.33	38.65	3266.83	10.10	51.56	47.48
	"Brevard County, FL"	"12009"	41473	4866842	8.52	777837	53.32	0.14%	29.03	38.35	38.62	3257.57	9.81	51.40	51.41
	"Broward County, FL"	"12011"	170233	15548193	10.95	2969267	57.33	0.57%	30.61	38.26	38.37	3191.50	10.18	58.38	54.48
	"Charlotte County, FL"	"12015"	8312	1532755	5.42	165835	50.12	0.03%	28.39	38.36	38.55	3243.52	10.20	52.10	55.56
	"Citrus County, FL"	"12017"	8379	1227172	6.83	148240	56.52	0.03%	27.52	38.45	38.72	3280.35	9.95	51.42	54.64
	"Clay County, FL"	"12019"	17718	1759024	10.07	331314	53.48	0.06%	28.66	38.28	38.50	3257.39	9.90	53.98	49.89
	"Collier County, FL"	"12021"	26138	3082663	8.48	424318	61.60	0.09%	29.58	38.41	38.57	3281.02	9.98	57.07	59.65
	"Duval County, FL"	"12031"	102848	7786146	13.21	1628872	63.14	0.34%	28.66	38.24	38.43	3196.46	9.19	51.75	45.69
	"Escambia County, FL"	"12033"	30325	2559109	11.85	499473	60.71	0.10%	27.75	38.06	38.30	3185.29	10.39	49.23	52.62
	"Hernando County, FL"	"12053"	12895	1573306	8.20	247348	52.13	0.04%	28.04	38.30	38.60	3249.85	10.19	51.78	51.50
	"Hillsborough County, FL"	"12057"	136898	11718676	11.68	2455288	55.76	0.46%	29.21	38.36	38.54	3226.81	10.21	53.00	55.11
	"Indian River County, FL"	"12061"	9988	1286609	7.76	171876	58.11	0.03%	28.94	38.34	38.58	3256.77	12.54	54.62	51.09
	"Lake County, FL"	"12069"	27756	3010923	9.22	486306	57.08	0.09%	28.63	38.30	38.51	3253.35	9.74	52.43	51.99
	"Lee County, FL"	"12071"	56404	6222516	9.06	965498	58.42	0.19%	28.80	38.32	38.51	3238.87	9.89	53.31	51.45
	"Leon County, FL"	"12073"	23184	2346757	9.88	616990	37.58	0.08%	28.89	38.32	38.49	3193.00	10.72	49.78	57.65
	"Manatee County, FL"	"12081"	28576	3253709	8.78	497770	57.41	0.10%	28.78	38.45	38.65	3266.10	11.13	52.82	57.46
	"Marion County, FL"	"12083"	28174	2994731	9.41	467868	60.22	0.09%	27.65	38.43	38.64	3242.45	9.62	51.67	54.90
	"Martin County, FL"	"12085"	10051	1287887	7.80	167486	60.01	0.03%	29.68	38.57	38.75	3290.41	10.91	51.89	56.07
	"Miami-Dade County, FL"	"12086"	240880	21674046	11.11	4204641	57.29	0.81%	30.37	38.33	38.39	3226.72	10.93	60.74	57.56
	"Okaloosa County, FL"	"12091"	21236	1683168	12.62	317017	66.99	0.07%	28.34	38.22	38.50	3259.41	11.84	49.22	50.29
	"Orange County, FL"	"12095"	131848	11188723	11.78	2526416	52.19	0.44%	29.72	38.29	38.41	3215.04	9.25	55.89	52.71
	"Osceola County, FL"	"12097"	36727	3080862	11.92	648599	56.63	0.12%	28.94	38.32	38.51	3228.15	11.41	58.53	52.21
	"Palm Beach County, FL"	"12099"	119027	11955536	9.96	2019309	58.94	0.40%	30.22	38.35	38.45	3217.72	10.82	56.40	54.87
	"Pasco County, FL"	"12101"	42230	4527857	9.33	784404	53.84	0.14%	29.09	38.36	38.58	3260.58	10.51	52.22	55.05
	"Pinellas County, FL"	"12103"	62050	7738395	8.02	1268800	48.90	0.21%	29.61	38.47	38.63	3264.99	10.77	52.74	53.72
	"Polk County, FL"	"12105"	66491	5889224	11.29	1111494	59.82	0.22%	28.01	38.36	38.60	3247.12	10.14	53.08	54.88
	"St. Johns County, FL"	"12109"	18265	2195964	8.32	373400	48.92	0.06%	30.99	38.51	38.75	3322.37	10.78	48.38	45.66
	"St. Lucie County, FL"	"12111"	26098	2682493	9.73	444360	58.73	0.09%	29.06	38.40	38.60	3244.56	10.21	55.75	58.24
	"Santa Rosa County, FL"	"12113"	15632	1492998	10.47	266862	58.58	0.05%	28.66	38.21	38.50	3289.17	11.45	49.44	50.91
	"Sarasota County, FL"	"12115"	23033	3513969	6.55	441232	52.20	0.08%	29.53	38.50	38.72	3292.95	11.56	52.83	60.60
	"Seminole County, FL"	"12117"	36846	3765103	9.79	764323	48.21	0.12%	30.11	38.41	38.62	3268.78	9.92	52.91	51.92
	"Volusia County, FL"	"12127"	39387	4464336	8.82	732546	53.77	0.13%	28.47	38.39	38.67	3253.92	10.92	53.17	53.51
	"Unidentified Counties, FL"	"12999"	104285	11190357	9.32	1624361	64.20	0.35%	27.56	38.28	38.53	3236.88	10.08	51.58	50.61
	"Bartow County, GA"	"13015"	10452	871133	12.00	170696	61.23	0.03%	27.62	38.45	38.76	3297.03	12.18	49.99	48.83
	"Bibb County, GA"	"13021"	16807	1234084	13.62	257284	65.32	0.06%	27.13	37.91	38.20	3079.09	11.51	49.14	41.36
	"Carroll County, GA"	"13045"	12785	967477	13.21	210571	60.72	0.04%	27.30	38.40	38.56	3244.02	10.98	50.99	49.09
	"Chatham County, GA"	"13051"	29303	2348762	12.48	512497	57.18	0.10%	28.56	38.11	38.34	3161.83	9.74	52.40	49.72
	"Cherokee County, GA"	"13057"	21742	2109953	10.30	404377	53.77	0.07%	29.88	38.43	38.84	3308.87	11.62	48.90	45.07
	"Clarke County, GA"	"13059"	10755	1023746	10.51	298010	36.09	0.04%	28.75	38.20	38.22	3198.47	10.74	49.92	44.26
	"Clayton County, GA"	"13063"	28999	2331096	12.44	534703	54.23	0.10%	28.00	38.12	38.38	3089.49	9.71	55.15	51.16
	"Cobb County, GA"	"13067"	72155	6099351	11.83	1295461	55.70	0.24%	30.30	38.37	38.66	3235.54	12.62	52.33	50.33
	"Columbia County, GA"	"13073"	13752	1257631	10.93	255750	53.77	0.05%	29.62	38.43	38.68	3294.31	11.16	50.93	45.34
	"Coweta County, GA"	"13077"	13104	1187592	11.03	232691	56.32	0.04%	28.84	38.16	38.38	3225.44	12.34	50.14	44.78
	"DeKalb County, GA"	"13089"	82720	6054968	13.66	1355582	61.02	0.28%	29.80	38.38	38.50	3166.61	10.53	52.36	45.22
	"Douglas County, GA"	"13097"	13527	1168058	11.58	248156	54.51	0.05%	28.76	38.19	38.41	3164.45	11.79	56.99	56.31
	"Fayette County, GA"	"13113"	7160	933832	7.67	161656	44.29	0.02%	30.67	38.28	38.42	3229.59	11.98	51.60	46.79
	"Forsyth County, GA"	"13117"	18295	1981017	9.24	383306	47.73	0.06%	31.29	38.42	38.62	3294.84	12.31	51.31	45.17
	"Fulton County, GA"	"13121"	100699	8475285	11.88	1949903	51.64	0.34%	30.23	38.29	38.55	3148.19	10.78	51.01	46.98
	"Gwinnett County, GA"	"13135"	88372	7557478	11.69	1592868	55.48	0.30%	29.95	38.34	38.50	3212.62	11.55	56.20	49.99
	"Hall County, GA"	"13139"	20889	1646480	12.69	316535	65.99	0.07%	28.12	38.41	38.54	3285.89	11.70	52.21	42.98
	"Henry County, GA"	"13151"	21708	1899713	11.43	404927	53.61	0.07%	28.92	38.12	38.39	3150.04	11.17	56.88	47.84
	"Houston County, GA"	"13153"	15690	1287477	12.19	270926	57.91	0.05%	27.98	38.15	38.48	3213.95	10.62	53.48	43.26
	"Lowndes County, GA"	"13185"	12940	941839	13.74	221763	58.35	0.04%	27.24	38.05	38.27	3165.08	11.79	49.52	43.15
	"Muscogee County, GA"	"13215"	22118	1588024	13.93	334392	66.14	0.07%	27.52	38.00	38.05	3126.78	11.16	51.31	46.57
	"Paulding County, GA"	"13223"	14079	1356705	10.38	283197	49.71	0.05%	29.02	38.27	38.61	3265.43	13.31	52.14	51.75
	"Richmond County, GA"	"13245"	23135	1627325	14.22	346627	66.74	0.08%	27.44	38.14	38.37	3117.77	10.54	50.91	49.48
	"Whitfield County, GA"	"13313"	10363	831441	12.46	162858	63.63	0.03%	27.23	38.29	38.62	3279.35	12.09	53.73	47.42
	"Unidentified Counties, GA"	"13999"	328075	28547867	11.49	5361993	61.19	1.10%	27.16	38.12	38.30	3192.92	11.25	51.12	46.30
	"Hawaii County, HI"	"15001"	17110	1621502	10.55	278575	61.42	0.06%	29.18	38.41	38.76	3208.24	10.03	52.12	57.06
	"Honolulu County, HI"	"15003"	93656	7885660	11.88	1487456	62.96	0.31%	29.82	38.38	38.64	3225.95	9.99	49.68	54.91
	"Maui County, HI"	"15009"	14053	1326927	10.59	238642	58.89	0.05%	29.77	38.56	38.85	3222.85	11.45	52.15	58.24
	"Unidentified Counties, HI"	"15999"	6274	582262	10.78	100374	62.51	0.02%	29.80	38.62	38.88	3229.05	11.52	51.81	59.71
	"Ada County, ID"	"16001"	39685	3902340	10.17	782297	50.73	0.13%	29.84	38.62	38.87	3328.02	12.21	46.12	45.75
	"Bonneville County, ID"	"16019"	14535	973669	14.93	195135	74.49	0.05%	27.98	38.29	38.36	3212.09	11.76	43.16	41.28
	"Canyon County, ID"	"16027"	25417	1870652	13.59	379966	66.89	0.09%	27.85	38.51	38.78	3312.69	11.03	47.99	50.88
	"Kootenai County, ID"	"16055"	14770	1358155	10.88	244967	60.29	0.05%	28.80	38.69	39.03	3370.38	12.30	45.15	46.23
	"Unidentified Counties, ID"	"16999"	82470	6468135	12.75	1226630	67.23	0.28%	27.70	38.53	38.64	3276.99	11.10	44.41	46.47
	"Champaign County, IL"	"17019"	17265	1664811	10.37	414702	41.63	0.06%	29.06	38.29	38.47	3251.95	12.79	47.39	41.12
	"Cook County, IL"	"17031"	464895	41223282	11.28	8728530	53.26	1.56%	30.25	38.35	38.52	3224.79	10.81	52.77	46.70
	"DeKalb County, IL"	"17037"	8560	823726	10.39	195348	43.82	0.03%	28.99	38.26	38.51	3285.01	11.91	49.45	44.97
	"DuPage County, IL"	"17043"	79883	7395486	10.80	1398085	57.14	0.27%	31.41	38.45	38.64	3299.02	11.87	46.52	42.88
	"Kane County, IL"	"17089"	47618	4208763	11.31	805417	59.12	0.16%	29.80	38.28	38.50	3284.19	11.32	51.90	46.65
	"Kankakee County, IL"	"17091"	9659	866708	11.14	168478	57.33	0.03%	28.07	38.26	38.50	3232.76	10.57	50.52	45.65
	"Kendall County, IL"	"17093"	12145	1050553	11.56	221020	54.95	0.04%	30.60	38.30	38.54	3307.12	11.84	48.49	46.04
	"Lake County, IL"	"17097"	55982	5626676	9.95	1047454	53.45	0.19%	30.46	38.38	38.60	3281.98	11.68	50.63	44.63
	"LaSalle County, IL"	"17099"	9035	871731	10.36	147939	61.07	0.03%	28.23	38.33	38.64	3288.48	12.50	48.05	50.31
	"McHenry County, IL"	"17111"	24544	2474027	9.92	448600	54.71	0.08%	30.47	38.38	38.59	3330.00	11.72	48.13	46.31
	"McLean County, IL"	"17113"	14242	1372780	10.37	321174	44.34	0.05%	29.27	38.43	38.63	3297.39	11.73	46.50	41.26
	"Macon County, IL"	"17115"	9774	828593	11.80	153533	63.66	0.03%	27.32	38.08	38.20	3198.10	10.91	48.60	48.78
	"Madison County, IL"	"17119"	22218	2112355	10.52	400406	55.49	0.07%	28.55	38.24	38.45	3246.85	10.82	49.69	45.96
	"Peoria County, IL"	"17143"	18356	1440797	12.74	279501	65.67	0.06%	28.03	38.30	38.46	3240.10	11.33	45.92	44.66
	"Rock Island County, IL"	"17161"	12952	1141527	11.35	205402	63.06	0.04%	28.06	38.35	38.58	3267.94	11.78	49.75	49.31
	"St. Clair County, IL"	"17163"	23164	2062514	11.23	398012	58.20	0.08%	28.38	38.11	38.29	3181.05	10.53	50.61	47.87
	"Sangamon County, IL"	"17167"	17103	1560612	10.96	294491	58.08	0.06%	28.70	38.02	38.21	3174.88	11.27	49.84	46.64
	"Tazewell County, IL"	"17179"	10759	1052684	10.22	186442	57.71	0.04%	28.46	38.49	38.68	3367.75	12.10	45.79	42.61
	"Will County, IL"	"17197"	57397	5548706	10.34	1076486	53.32	0.19%	30.19	38.29	38.48	3282.33	11.08	49.19	46.83
	"Winnebago County, IL"	"17201"	27149	2264828	11.99	420735	64.53	0.09%	28.03	38.21	38.45	3231.53	12.37	50.93	42.40
	"Unidentified Counties, IL"	"17999"	164735	15816024	10.42	2704790	60.90	0.55%	27.76	38.29	38.55	3287.27	11.79	47.17	44.69
	"Allen County, IN"	"18003"	41616	3054720	13.62	613316	67.85	0.14%	28.14	38.40	38.50	3245.29	12.07	44.12	45.77
	"Clark County, IN"	"18019"	11442	960374	11.91	185635	61.64	0.04%	28.01	38.35	38.54	3288.25	11.17	49.83	44.56
	"Delaware County, IN"	"18035"	8726	909371	9.60	207467	42.06	0.03%	27.19	38.31	38.41	3273.62	11.12	47.19	45.04
	"Elkhart County, IN"	"18039"	24017	1647095	14.58	314155	76.45	0.08%	27.43	38.61	38.74	3313.95	11.10	46.44	50.84
	"Hamilton County, IN"	"18057"	30427	2745671	11.08	549279	55.39	0.10%	31.18	38.40	38.51	3325.45	12.31	43.37	41.57
	"Hendricks County, IN"	"18063"	14068	1383142	10.17	266325	52.82	0.05%	29.69	38.35	38.47	3330.23	12.09	46.91	44.81
	"Johnson County, IN"	"18081"	14907	1278777	11.66	251883	59.18	0.05%	28.61	38.35	38.50	3303.01	11.81	48.07	45.82
	"Lake County, IN"	"18089"	43956	3927771	11.19	750713	58.55	0.15%	28.51	38.35	38.46	3241.35	10.63	50.11	50.57
	"La Porte County, IN"	"18091"	9504	885373	10.73	146674	64.80	0.03%	27.50	38.29	38.42	3240.56	10.22	47.24	51.27
	"Madison County, IN"	"18095"	11430	1042715	10.96	187309	61.02	0.04%	27.09	38.18	38.33	3236.90	11.26	48.20	46.98
	"Marion County, IN"	"18097"	113010	7685774	14.70	1696775	66.60	0.38%	28.35	38.24	38.33	3208.73	10.60	51.53	46.71
	"Monroe County, IN"	"18105"	9124	1155011	7.90	304704	29.94	0.03%	29.22	38.59	38.75	3323.80	13.00	44.99	47.71
	"Porter County, IN"	"18127"	13049	1371527	9.51	260959	50.00	0.04%	29.18	38.45	38.60	3322.88	10.34	47.07	45.78
	"St. Joseph County, IN"	"18141"	26899	2170950	12.39	443313	60.68	0.09%	28.10	38.41	38.47	3250.45	11.14	45.76	48.70
